transaction_id,date,vendor_id,vendor_name,department,approved_by,amount,ledger_type,category,payment_mode,balance_before,balance_after,invoice_number,is_recurring
TXN-029,2025-11-17,V-501,Bharat Forge Ltd,Procurement,R. Sharma,610000,Purchase Ledger,Engine Parts,RTGS,2230000,1620000,INV-2025-1024,FALSE
TXN-030,2025-11-21,V-501,Bharat Forge Ltd,Procurement,P. Singh,870000,Purchase Ledger,Raw Materials,RTGS,1620000,750000,INV-2025-1025,FALSE
TXN-031,2025-11-04,V-507,Sundaram Clayton,Procurement,A. Mehta,215000,Purchase Ledger,Engine Parts,NEFT,750000,535000,INV-2025-1026,FALSE
TXN-032,2025-11-06,V-506,Mahindra CIE,Operations,S. Kumar,178000,Purchase Ledger,Logistics,NEFT,535000,357000,INV-2025-1027,FALSE
TXN-033,2025-11-08,V-504,Tata Steel Ltd,Finance,M. Patel,63000,General Ledger,Maintenance,Cheque,357000,294000,INV-2025-1028,TRUE
TXN-034,2025-11-11,V-502,JBM Auto Ltd,Procurement,R. Sharma,332000,Purchase Ledger,Raw Materials,RTGS,294000,0,INV-2025-1029,FALSE
TXN-035,2025-11-14,V-503,Bosch India Pvt Ltd,Operations,A. Mehta,117000,Purchase Ledger,Engine Parts,NEFT,332000,215000,INV-2025-1030,TRUE
TXN-036,2025-11-19,V-505,Minda Industries,Finance,P. Singh,245000,General Ledger,Logistics,NEFT,215000,0,INV-2025-1031,FALSE
TXN-037,2025-11-22,V-507,Sundaram Clayton,Procurement,R. Sharma,489000,Purchase Ledger,Engine Parts,RTGS,245000,0,INV-2025-1032,FALSE
TXN-038,2025-11-25,V-506,Mahindra CIE,Operations,S. Kumar,156000,Purchase Ledger,Raw Materials,NEFT,489000,333000,INV-2025-1033,FALSE
TXN-039,2025-11-27,V-503,Bosch India Pvt Ltd,Finance,M. Patel,78000,General Ledger,Maintenance,NEFT,333000,255000,INV-2025-1034,TRUE
TXN-040,2025-11-29,V-504,Tata Steel Ltd,Procurement,A. Mehta,405000,Purchase Ledger,Raw Materials,RTGS,255000,0,INV-2025-1035,FALSE
